char,pca_3,pca_5,pca_7
200,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
201,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
202,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
203,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
204,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
205,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
206,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
207,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
208,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
209,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
210,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
211,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
212,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
213,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
