char,pca_3,pca_5,pca_7
267,[ -270.95268533 -1085.51614794 -1707.9030069 ],"[ -270.95295978 -1085.51041556 -1707.90791983  -736.37150468
   179.86082547]","[ -270.95305816 -1085.51342819 -1707.91861518  -736.23445528
   179.9686243    754.3799539   -602.14864262]"
268,[ 2053.29720944  1272.51538335 -1817.10967199],"[ 2053.29701674  1272.51403113 -1817.12537288  1108.73150711
   157.86759484]","[ 2053.29713902  1272.51699606 -1817.11743469  1108.62299494
   157.98647952  -693.9765501  -1991.29880989]"
269,[ -161.26305069 -1168.47128871 -1870.5091719 ],"[ -161.26330191 -1168.46679591 -1870.51466445  -684.050586
   322.91429375]","[ -161.26338058 -1168.46916056 -1870.52314517  -683.94338602
   323.00527919   662.86923635  -530.88908606]"
270,[3717.65916903 2857.28436446  616.73676518],[3717.65946337 2857.28955802  616.76606313  180.58302382  434.18472087],"[3717.65929385 2857.28460954  616.74577526  180.81716373  434.2664021
 -364.48100741 -683.13246851]"
271,[1308.79874549 -143.71847168  319.83568002],[1308.79848317 -143.72059273  319.7889805  -866.07004892 -308.12714832],"[1308.79876453 -143.71384774  319.80209358 -866.36838201 -308.216828
  163.39645093 1908.92170204]"
272,[3718.69357017 2447.19405381  284.452537  ],[3718.69379746 2447.19724151  284.47248683  738.64040358 -132.11921752],"[3718.69364834 2447.19325955  284.46190613  738.8206747  -132.0412226
 -160.85630323    6.62256264]"
273,[ 2511.78549051 -1356.65222582  -295.96202153],"[ 2511.78538444 -1356.65316467  -295.98068871 -1664.57097995
  -458.06091264]","[ 2511.78552533 -1356.6502104   -295.98136722 -1664.68959545
  -458.05220707  -558.2053988    484.04179504]"
274,[  998.23073703  -447.32798018 -2784.45175211],"[  998.23072198  -447.32771793 -2784.42237994  3308.54388505
   565.36805634]","[  998.23057259  -447.33193512 -2784.44094172  3308.72704687
   565.36210369  -912.49296488  -331.2215788 ]"
275,[ 1308.78565357 -1856.41476008 -2221.23574649],"[ 1308.78582496 -1856.41056052 -2221.2347476  -1833.96425166
   492.62474677]","[ 1308.78575642 -1856.41146495 -2221.22897897 -1833.9301084
   492.60240202  -138.33695878   135.78804476]"
276,[ 1013.87115048  -430.37678605 -2785.32237339],"[ 1013.87112426  -430.37611179 -2785.29388414  3346.7117502
   608.13568909]","[ 1013.87097186  -430.38058532 -2785.31391358  3346.90534025
   608.13897592  -996.89119996  -375.87070055]"
277,[ 1193.54345744 -2029.0194401  -1989.06162218],"[ 1193.54364842 -2029.01574279 -1989.05933249 -2005.05709871
   439.00037492]","[ 1193.54357758 -2029.01678998 -1989.0545557  -2005.01975642
   438.9667415    -18.19835859    62.29748721]"
278,[  908.76831306  -533.84859789 -2857.57077997],"[  908.76825915  -533.85021483 -2857.54986607  3086.26518493
   151.98668976]","[  908.76817509  -533.85261568 -2857.56044321  3086.36753109
   151.96852883  -866.12570417  -154.954098  ]"
279,[  970.97103068 -1942.9020946  -1581.31023316],"[  970.97120183 -1942.8969662  -1581.30720935 -2253.23043048
   249.19342583]","[  970.97110746 -1942.89896034 -1581.30657531 -2253.14584827
   249.20995944  -144.25591664   -84.80218617]"
280,[ -200.29976191 -1642.2691704    287.40754569],"[ -200.30018171 -1642.26903154   287.41710528   941.15039994
 -1310.56264957]","[ -200.30027571 -1642.27145683   287.40795029   941.24484397
 -1310.55802174  1010.09460483  -384.38222947]"
281,[   67.75396564 -1516.27425649  1431.90255291],"[   67.75371469 -1516.27878048  1431.8894585   1337.90384406
 -1810.89704457]","[   67.75389349 -1516.27306336  1431.90725412  1337.68065152
 -1810.98224123  -111.2112647  -1542.65307928]"
282,[ 1008.96266804  -437.79913313 -2819.27679112],"[ 1008.96263501  -437.79886937 -2819.24931088  3309.21067294
   539.47361493]","[ 1008.96249435  -437.80300402 -2819.26788024  3309.38980363
   539.47538762  -988.31364091  -333.12626437]"
283,[ 1087.52946268 -2065.04115844 -1789.32508182],"[ 1087.52965686 -2065.03745836 -1789.32324844 -2181.34833167
   391.16257131]","[ 1087.52958914 -2065.03853428 -1789.3187681  -2181.30703767
   391.14608022   -55.44267208   -15.76702604]"
284,[3360.17022212 3016.35690193 -870.36504843],[3360.17007847 3016.35466323 -870.4067717   556.08561413 1251.54136924],"[3360.17028725 3016.36078471 -870.38360234  555.81345621 1251.44880057
 -844.99504363 -599.48137396]"
285,[   63.47880988 -2216.05386418  2357.1129645 ],"[   63.47948543 -2216.04678632  2357.08745122  2587.4409319
 -1324.55271408]","[   63.47949593 -2216.04694573  2357.08735233  2587.44021158
 -1324.51389675  -992.66629634  -481.39546955]"
286,[3339.5527391  3065.63739766 -883.6751954 ],[3339.55262003 3065.63582362 -883.71594299  642.42613811 1372.95327637],"[3339.55281803 3065.64147272 -883.69507208  642.17418268 1372.87271743
 -986.35997233 -697.82809946]"
287,[   57.33190097 -2184.27899144  2520.03940485],"[   57.3325829  -2184.27059399  2520.01376559  2570.03871999
 -1236.95737967]","[   57.33257151 -2184.27144894  2520.01074946  2570.06596643
 -1236.91183946 -1116.80055215  -536.90507982]"
288,[3261.72547078 2945.01897686 -921.2744189 ],[3261.72533056 2945.01562492 -921.32166391  431.00529468  974.98189649],"[3261.72558238 2945.02286993 -921.29352373  430.68238409  974.88690457
 -809.23867178 -496.1877816 ]"
289,[  -63.9403117  -2236.24761463  2448.36582198],"[  -63.939632   -2236.24051586  2448.34011976  2445.04698622
 -1457.20326119]","[  -63.93961105 -2236.2404227   2448.3410291   2445.04025134
 -1457.15113864 -1110.73712554  -490.20425902]"
290,[1246.24271164 1687.72824452 2425.28384871],"[ 1246.24242712  1687.73266135  2425.29668062  -855.9551625
 -1110.69911148]","[ 1246.24228285  1687.72964861  2425.28596067  -855.80653149
 -1110.71090458   923.42841666  -620.431974  ]"
291,[ 4.95192237e-01 -2.16288964e+03  2.36745306e+03],"[ 4.95867423e-01 -2.16288222e+03  2.36742417e+03  2.50528315e+03
 -1.32703938e+03]","[ 4.95894669e-01 -2.16288195e+03  2.36742619e+03  2.50526762e+03
 -1.32697830e+03 -1.24790792e+03 -5.18761357e+02]"
292,[2900.08975306 1910.44396004 2925.33547548],[2900.09003356 1910.44680746 2925.34772431  813.44044227  354.05304723],"[ 2900.08988354  1910.44232124  2925.328715     813.60835364
   353.99952101  -195.26792559 -1016.47422347]"
293,[ 1785.24575374 -1256.58604509  1392.2768995 ],"[ 1785.24588939 -1256.58616971  1392.2948195   -851.50270955
  -264.54371338]","[ 1.78524574e+03 -1.25659197e+03  1.39226549e+03 -8.51280885e+02
 -2.64476151e+02  6.22316810e+01  1.67328282e+00]"
294,[2723.11233004 1269.8066177  3344.38311027],[2723.11260419 1269.8063793  3344.37513773  193.149769    -50.47580592],"[2723.11265414 1269.8078099  3344.38215138  193.05833014  -50.61219758
  -43.22372997  -49.46309025]"
295,[ 1938.32984916 -1889.21503536   885.34856403],"[ 1938.32998933 -1889.22099255   885.37865199  -154.36385572
  -644.48648329]","[ 1938.3298504  -1889.22575275   885.36069585  -154.18664106
  -644.41511149  -317.70506254  -331.15287323]"
296,[-1526.84118751  -166.01938534  -844.04525242],"[-1526.84103812  -166.01928441  -844.02971749  1650.24735142
  1167.44523064]","[-1526.84109078  -166.0207232   -844.03594084  1650.30418527
  1167.39174233  2619.29659981  -980.43762914]"
297,[-1390.77257294   148.40066834  -973.6169678 ],"[-1390.77247615   148.4008837   -973.60077159   915.77494374
   795.68855481]","[-1390.77256259   148.3987714   -973.60534301   915.87417658
   795.71154395  2066.29665456  -318.18791302]"
298,[-2356.60057894   645.47712326  -674.67168283],"[-2356.6002867    645.47610485  -674.66621437   834.14638861
  1456.62898514]","[-2356.60028521   645.47605674  -674.66813479   834.14883943
  1456.62861481  2264.25271493  -886.8604619 ]"
299,[-2051.34679027   856.88004441 -1096.39750806],"[-2051.34659884   856.8802053  -1096.39430246   542.21694294
   742.27597425]","[-2051.34664455   856.87915725 -1096.39485816   542.26954636
   742.34246367  1731.80341677  -162.10932978]"
300,[-2680.11944381  1005.37265087  -498.00629568],"[-2680.1190981   1005.37063829  -498.0001038    296.36380232
  1258.25492164]","[-2680.1190951   1005.37046105  -498.00271015   296.37307663
  1258.29154996  1593.89440396  -857.13611299]"
301,[-2401.89009509  1049.72540516  -863.72408448],"[-2401.88990734  1049.7228649   -863.72667001   177.35869323
   468.84649238]","[-2401.88989565  1049.72330791  -863.7212964    177.33947882
   468.90396011  1153.33934367  -211.09751281]"
302,[-3182.40094165  1343.1312726    173.27870315],"[-3182.40083345  1343.13062358   173.28676112  -915.94239713
  -504.82439599]","[-3182.40086008  1343.12988443   173.28463211  -915.90874823
  -504.81977248 -2142.36008035   -77.932072  ]"
303,[-3172.78652216  1289.36416121   480.56706948],"[-3172.78641502  1289.36407516   480.57530584  -922.61516906
  -880.03553422]","[-3172.7864496   1289.36294083   480.57018431  -922.56829757
  -880.04953191 -1517.97379041  -152.46592569]"
304,[-2998.08620655  1437.67709291   -21.83339846],"[-2998.08623653  1437.67547141   -21.81544516  -940.47765596
  -141.62135814]","[-2998.08627594  1437.67476062   -21.81790758  -940.43157232
  -141.60333343 -1987.9654984    -93.90045474]"
305,[-2730.8701565   1327.4146395     94.83031582],"[-2730.87028846  1327.41418638    94.83380909  -951.99036295
 -1049.358611  ]","[-2730.87029798  1327.41421166    94.83472025  -951.98588735
 -1049.36132312  -822.17955042   264.67132468]"
306,[3251.47490537  -92.89282695 1067.01627487],"[ 3251.47484639   -92.8925122   1067.02991606  -305.83528361
 -1828.28489115]","[ 3251.47477671   -92.89486383  1067.02105884  -305.72767119
 -1828.18970271  -268.61001712  -961.39092742]"
307,[  414.00427631 -2761.06097536   946.45074313],"[  414.00414346 -2761.05724731   946.45390548  1237.54143896
  -983.86718295]","[  414.00407984 -2761.05916731   946.44245174  1237.62244973
  -983.87133094   686.43310739  -177.70834369]"
308,[-2525.43517423  1510.83301981  -250.43341958],"[-2525.43487845  1510.83172613  -250.40456222  -571.76785241
   351.841025  ]","[-2525.43498799  1510.8290102   -250.41431561  -571.63324247
   351.89840437 -1509.58245542    35.87350537]"
309,[-2760.9326623    810.33239411    49.31689543],"[-2760.93235875   810.33129176    49.31482323   138.6209405
   474.06812717]","[-2760.93235332   810.33094317    49.3126452    138.62898186
   474.08948031  1639.03534172  -705.43854395]"
310,[  249.74980685 -1117.60498094   256.51934543],"[  249.74947475 -1117.61199528   256.55195418   873.84196181
  -522.43109426]","[  249.74940869 -1117.61348567   256.54722612   873.89372772
  -522.50390234  -993.10491688   -18.68808658]"
311,[ -783.71383501 -1256.2177973    378.56458611],"[ -783.71408411 -1256.21707706   378.58189258  1584.64520117
  -540.94962157]","[ -783.71414194 -1256.21842835   378.57730874  1584.69984874
  -541.00173184   468.81275183  1056.40823048]"
312,[ -805.40792328 -1546.8627288   -150.85290469],"[ -805.40782991 -1546.85647608  -150.86258619   791.52063421
  -790.70294005]","[ -805.40789508 -1546.85750853  -150.86433132   791.56251974
  -790.76984119   839.98449022   914.27508174]"
313,[ -899.17107915  -122.66990199 -1912.13800286],"[ -899.17111491  -122.67166039 -1912.13567507  1517.56620784
   704.19697481]","[ -899.17105897  -122.67059922 -1912.13440722  1517.51802077
   704.14920965  2323.44934572  -672.74202142]"
314,[-2866.3736629   1249.11519334  -408.78388675],"[-2866.37338905  1249.11136806  -408.78479964  -457.28526819
   603.14690312]","[-2866.37333693  1249.11268028  -408.77946898  -457.33998796
   603.19977461   465.88167571  -538.49128785]"
315,[-1583.03187331  -462.1724314    167.15290123],"[-1583.03209048  -462.17529633   167.1569789   1332.88248702
  -167.3619255 ]","[-1583.03203184  -462.17312528   167.16606527  1332.78831793
  -167.46085783  2226.66601411  -473.79452764]"
316,[-3058.07340061  1357.41764631   179.29074329],"[-3058.07334174  1357.41744342   179.30557704  -909.53526232
  -268.35354126]","[-3058.07340164  1357.41584812   179.3000466   -909.46706084
  -268.35974439 -2252.26342098  -147.82542772]"
317,[ -665.75294851  -343.79571889 -2039.14797166],"[ -665.75308401  -343.79854457 -2039.16167212  1629.39845741
   584.11504833]","[ -665.75292263  -343.79417656 -2039.14661867  1629.21261644
   584.03921814  2135.52952306  -167.33123755]"
318,[-2497.40734244   803.42738151  -723.84540671],"[-2497.40712391   803.42272721  -723.8632473     22.22287969
   892.10881913]","[-2497.40697632   803.42699676  -723.84579636    22.03762402
   892.10215019  1226.8447517   -312.1148726 ]"
319,[1662.81614618 -516.64654962 -821.3269625 ],"[ 1662.81613928  -516.64840158  -821.29587834   251.34991387
 -1407.60639842]","[ 1662.81601366  -516.65219596  -821.3074107    251.52090761
 -1407.53857108    35.80860687 -1214.16557974]"
320,[-1760.43580395  -345.30944724  -745.05849109],"[-1760.43567103  -345.31314985  -745.06679634   708.96441259
   985.5361854 ]","[-1760.43557392  -345.31022315  -745.0538665    708.82588934
   985.44745233  2633.81694958  -107.14339731]"
321,[-1086.62833254  -332.08824862 -1671.37511136],"[-1086.62845802  -332.09208135 -1671.38535541  1082.67321877
   616.07315   ]","[-1086.62833417  -332.08899863 -1671.37519344  1082.5375983
   616.02911359  2119.24903578  -198.11591818]"
322,[-3023.34934081  1014.22440278   -29.05938219],"[-3023.34946126  1014.2236454    -29.05829768  -995.20651548
  -128.60281635]","[-3023.34946582  1014.22358587   -29.05769227  -995.2028283
  -128.58161342 -1756.35117371   442.98278415]"
