char,pca_3,pca_5,pca_7
113,[ 340.95230631 -417.91365005 -400.90578763],[ 340.95230631 -417.91365005 -400.90578763  130.00095809 -332.24301194],"[ 340.95230631 -417.91365005 -400.90578763  130.00095809 -332.24301194
   50.79503426 -309.65318077]"
114,[-514.769734    -16.02024996  161.27417671],[-514.769734    -16.02024996  161.27417671  -89.71486762 -139.65094985],"[-514.769734    -16.02024996  161.27417671  -89.71486762 -139.65094985
 -416.2534266   130.99762927]"
115,[-255.12717843 -110.10188424  -89.51589461],[-255.12717843 -110.10188424  -89.51589461 -364.8149816  -188.6500786 ],"[-255.12717843 -110.10188424  -89.51589461 -364.8149816  -188.6500786
 -136.42503543  215.16405161]"
116,[-590.2533982    48.69421428   40.19855377],[-590.2533982    48.69421428   40.19855377  -98.52884962  -68.37580848],"[-590.2533982    48.69421428   40.19855377  -98.52884962  -68.37580848
 -282.66121895  202.79127928]"
117,[ 490.42830686 -259.44841814 -295.04676153],[ 490.42830686 -259.44841814 -295.04676153 -419.56915134 -269.23245555],"[ 490.42830686 -259.44841814 -295.04676153 -419.56915134 -269.23245555
  -13.44431679 -304.36314738]"
118,[-140.41007089 -213.48082916  -38.91027727],[-140.41007089 -213.48082916  -38.91027727  -42.65014355 -354.80244514],"[-140.41007089 -213.48082916  -38.91027727  -42.65014355 -354.80244514
 -221.21555239 -180.25168143]"
119,[ 178.71896282  225.46737938 -253.73298188],[ 178.71896282  225.46737938 -253.73298188  -39.36521615  -85.50406505],"[ 178.71896282  225.46737938 -253.73298188  -39.36521615  -85.50406505
  -91.70160551  367.19505942]"
120,[-245.60323392 -228.09625106   -6.07948648],[-245.60323392 -228.09625106   -6.07948648   84.24882889 -403.14027022],"[-245.60323392 -228.09625106   -6.07948648   84.24882889 -403.14027022
   49.88297313  128.93119031]"
121,[-344.6617329  -137.61865152  -83.89340371],[-344.6617329  -137.61865152  -83.89340371  303.434787   -443.02730062],"[-344.6617329  -137.61865152  -83.89340371  303.434787   -443.02730062
   63.29005658   70.27583129]"
122,[-368.29590345  -17.86744392  -39.14420817],[-368.29590345  -17.86744392  -39.14420817 -342.99382225 -177.64793459],"[-368.29590345  -17.86744392  -39.14420817 -342.99382225 -177.64793459
   92.96003586  189.19021481]"
